fullname,email,phone,city,state,pin,lifetimespend
rahul kumar,rahul123@@gmail..com,98O7654321,delhii,DL,1100A1,12000
Simran  K.,simran_k@ gmal.com,91234-5678,mumbai ,MH,4000 12,abc
A.K. Verma,"akverma!@yahoo,com",+91 99 88 77 66,kanpru,UP,2080O2,4500.50
pReeti@Shah,preeti.shah@gmail,88888oo777,Ahemdabd,GJ,38O0O1,-500
Rohit,rohit@@hotmail..com,700-12-300, kalkata,WB,7O0001,10000 rs
Meena Devi,meena.devi@redifmail,9845x0012,channai,TN,6OOO42,NULL
Arjun S,arjun_s%outlook.com,9a8899007,hydrabad,TS,5000O3,9999.9.9
Kiran ,kiran12@@@gmail.com,12345,punee,MH,4110@1,25000 
Jatin-Gupta,jatin gupta@gmail.com,9090-9-8080,jaipurr,RJ,3020O1,twenty k
pooja ,"pooja..k@icloud,com",00011223344,lukhnow,UP,2260l5,
